jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
136	22.5	0.85	16.8958333333333	1.53931755121338	0	0	16.8958333333333	1.53931755121338	83.7	380	16.8958333333333	16.8958333333333	16.8958333333333	10	1	-999	-999
136	23	0.85	16.875	1.5548901071856	0	0	16.875	1.5548901071856	83.7	380	16.875	16.875	16.875	10	1	-999	-999
136	23.5	0.85	16.875	1.566451896628	0	0	16.875	1.566451896628	83.7	380	16.875	16.875	16.875	10	1	-999	-999
137	0	0.85	16.0416666666667	1.52043029871628	0	0	16.0416666666667	1.52043029871628	83.7	380	16.0416666666667	16.0416666666667	16.0416666666667	10	1	-999	-999
137	0.5	0.85	16.0208333333333	1.53308369246806	0	0	16.0208333333333	1.53308369246806	83.7	380	16.0208333333333	16.0208333333333	16.0208333333333	10	1	-999	-999
137	1	0.85	16.2708333333333	1.54470196952484	0	0	16.2708333333333	1.54470196952484	83.7	380	16.2708333333333	16.2708333333333	16.2708333333333	10	1	-999	-999
137	1.5	0.85	16.2083333333333	1.55056877888355	0	0	16.2083333333333	1.55056877888355	83.7	380	16.2083333333333	16.2083333333333	16.2083333333333	10	1	-999	-999
137	2	0.85	16.2083333333333	1.55362630730905	0	0	16.2083333333333	1.55362630730905	83.7	380	16.2083333333333	16.2083333333333	16.2083333333333	10	1	-999	-999
137	2.5	0.85	16.1666666666667	1.55508361119072	0	0	16.1666666666667	1.55508361119072	83.7	380	16.1666666666667	16.1666666666667	16.1666666666667	10	1	-999	-999
137	3	0.85	16.1666666666667	1.5611824990536	0	0	16.1666666666667	1.5611824990536	83.7	380	16.1666666666667	16.1666666666667	16.1666666666667	10	1	-999	-999
137	3.5	0.85	16.125	1.55937976600753	0	0	16.125	1.55937976600753	83.7	380	16.125	16.125	16.125	10	1	-999	-999
137	4	0.85	15.9375	1.55780623817566	0	0	15.9375	1.55780623817566	83.7	380	15.9375	15.9375	15.9375	10	1	-999	-999
137	4.5	0.85	16.1875	1.57725764619943	0	0	16.1875	1.57725764619943	83.7	380	16.1875	16.1875	16.1875	10	1	-999	-999
137	5	0.85	16.1458333333333	1.58492931548729	0	0	16.1458333333333	1.58492931548729	83.7	380	16.1458333333333	16.1458333333333	16.1458333333333	10	1	-999	-999
137	5.5	0.85	16.875	1.61867929031606	0	0	16.875	1.61867929031606	83.7	380	16.875	16.875	16.875	10	1	-999	-999
137	6	0.85	17.1666666666667	1.6398088574811	0	300	17.1666666666667	1.6398088574811	83.7	380	17.1666666666667	17.1666666666667	17.1666666666667	10	1	-999	-999
137	6.5	0.85	17.875	1.68750779070066	0	300	17.875	1.68750779070066	83.7	380	17.875	17.875	17.875	10	1	-999	-999
137	7	0.85	18.9375	1.74775658812667	0	300	18.9375	1.74775658812667	83.7	380	18.9375	18.9375	18.9375	10	1	-999	-999
137	7.5	0.85	19.2083333333333	1.74557980719328	0	300	19.2083333333333	1.74557980719328	83.7	380	19.2083333333333	19.2083333333333	19.2083333333333	10	1	-999	-999
137	8	0.85	20.1458333333333	1.79517521531012	0	300	20.1458333333333	1.79517521531012	83.7	380	20.1458333333333	20.1458333333333	20.1458333333333	10	1	-999	-999
137	8.5	0.85	20.2708333333333	1.79405741564139	0	300	20.2708333333333	1.79405741564139	83.7	380	20.2708333333333	20.2708333333333	20.2708333333333	10	1	-999	-999
137	9	0.85	19.75	1.74213222605719	0	300	19.75	1.74213222605719	83.7	380	19.75	19.75	19.75	10	1	-999	-999
137	9.5	0.85	19.5833333333333	1.72930240928833	0	300	19.5833333333333	1.72930240928833	83.7	380	19.5833333333333	19.5833333333333	19.5833333333333	10	1	-999	-999
137	10	0.85	19.9583333333333	1.75406110443912	0	300	19.9583333333333	1.75406110443912	83.7	380	19.9583333333333	19.9583333333333	19.9583333333333	10	1	-999	-999
137	10.5	0.85	20.8125	1.8686631110427	0	300	20.8125	1.8686631110427	83.7	380	20.8125	20.8125	20.8125	10	1	-999	-999
137	11	0.85	22.0625	1.98613990709488	0	300	22.0625	1.98613990709488	83.7	380	22.0625	22.0625	22.0625	10	1	-999	-999
137	11.5	0.85	23.125	2.03983828772614	0	300	23.125	2.03983828772614	83.7	380	23.125	23.125	23.125	10	1	-999	-999
137	12	0.85	23.9791666666667	2.07302325431159	0	300	23.9791666666667	2.07302325431159	83.7	380	23.9791666666667	23.9791666666667	23.9791666666667	10	1	-999	-999
137	12.5	0.85	24.0833333333333	2.05550443159477	0	300	24.0833333333333	2.05550443159477	83.7	380	24.0833333333333	24.0833333333333	24.0833333333333	10	1	-999	-999
137	13	0.85	23.5208333333333	1.99460819347475	0	300	23.5208333333333	1.99460819347475	83.7	380	23.5208333333333	23.5208333333333	23.5208333333333	10	1	-999	-999
137	13.5	0.85	23.4791666666667	2.01266241354442	0	300	23.4791666666667	2.01266241354442	83.7	380	23.4791666666667	23.4791666666667	23.4791666666667	10	1	-999	-999
137	14	0.85	24	2.06391841576977	0	300	24	2.06391841576977	83.7	380	24	24	24	10	1	-999	-999
137	14.5	0.85	23.1875	2.01393006683274	0	300	23.1875	2.01393006683274	83.7	380	23.1875	23.1875	23.1875	10	1	-999	-999
137	15	0.85	22.1041666666667	1.92262122874512	0	300	22.1041666666667	1.92262122874512	83.7	380	22.1041666666667	22.1041666666667	22.1041666666667	10	1	-999	-999
137	15.5	0.85	21.0625	1.85436285580205	0	300	21.0625	1.85436285580205	83.7	380	21.0625	21.0625	21.0625	10	1	-999	-999
137	16	0.85	20.5833333333333	1.8395340975267	0	300	20.5833333333333	1.8395340975267	83.7	380	20.5833333333333	20.5833333333333	20.5833333333333	10	1	-999	-999
137	16.5	0.85	19.5	1.78520425414146	0	300	19.5	1.78520425414146	83.7	380	19.5	19.5	19.5	10	1	-999	-999
137	17	0.85	20.25	1.72236102191068	5	300	20.25	1.72236102191068	83.7	380	20.25	20.25	20.25	10	1	-999	-999
137	17.5	0.85	19.3333333333333	1.57064088825726	0	300	19.3333333333333	1.57064088825726	83.7	380	19.3333333333333	19.3333333333333	19.3333333333333	10	1	-999	-999
137	18	0.85	18.9375	1.5061526041813	0	300	18.9375	1.5061526041813	83.7	380	18.9375	18.9375	18.9375	10	1	-999	-999
137	18.5	0.85	17.8125	1.45519021250267	0	300	17.8125	1.45519021250267	83.7	380	17.8125	17.8125	17.8125	10	1	-999	-999
137	19	0.85	17.4375	1.44387382895067	0	300	17.4375	1.44387382895067	83.7	380	17.4375	17.4375	17.4375	10	1	-999	-999
137	19.5	0.85	17.1041666666667	1.43020237579821	0	300	17.1041666666667	1.43020237579821	83.7	380	17.1041666666667	17.1041666666667	17.1041666666667	10	1	-999	-999
137	20	0.85	16.8333333333333	1.43063293780235	0	0	16.8333333333333	1.43063293780235	83.7	380	16.8333333333333	16.8333333333333	16.8333333333333	10	1	-999	-999
137	20.5	0.85	16.7916666666667	1.44226129245192	0	0	16.7916666666667	1.44226129245192	83.7	380	16.7916666666667	16.7916666666667	16.7916666666667	10	1	-999	-999
